,smiles,IC50,pchembl,type,ID
1368,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,1050.0,5.98,IC50,CHEMBL2171986
1367,COc1ccc(cc1OC)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,1090.0,5.96,IC50,CHEMBL2171988
1366,O=C(NCC#N)[C@@H]1CCCC[C@H]1C(=O)N2CCN(CC2)c3ccc(cc3)C#N,2600.0,5.58,IC50,CHEMBL2171989
1365,CS(=O)(=O)c1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,1290.0,5.89,IC50,CHEMBL2171990
1364,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ccccc4,2260.0,5.65,IC50,CHEMBL2171991
1362,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,2950.0,5.53,IC50,CHEMBL2171992
1361,COc1ccc(cc1OC)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,2290.0,5.64,IC50,CHEMBL2171993
1360,CS(=O)(=O)c1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,2150.0,5.67,IC50,CHEMBL2171994
1359,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc(cc4)S(=O)(=O)C,549.0,6.26,IC50,CHEMBL2171995
1358,C[C@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc(cc4)S(=O)(=O)C,1510.0,5.82,IC50,CHEMBL2171996
1345,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(c4)c(C)nn5C,1230.0,5.91,IC50,CHEMBL2171999
