,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
MaxPartialCharge,-0.14528949867575894,0.03696849830429989,0.10429402828172407,0.06887592738117235,-0.08283874094550768,-0.022573387142974275,-0.0062933628560499855,0.1001469533214928,-0.0902426718763672,0.0014128931366077652,0.03686181145463663,-0.07519076355850915,0.03945493975777864,-0.011790540444561626,0.1868740034045557,0.03163906059363181,0.009895333222395442,-0.07230220277702439,-0.040320629621316606,-0.00047677953091473935
MinAbsPartialCharge,-0.1355134484575585,0.03655823974032278,0.1394166213767825,0.061818020619984176,-0.08938380958257039,-0.009732191487636922,0.027628395492903305,0.12335160668437238,-0.055427963796618206,-0.006176955056360296,0.027002940747779258,-0.05989286970004831,0.0409611740730208,-0.0040567724480271294,0.17131470158619938,0.03106269643115539,-0.03710200076171316,-0.05530630215405635,-0.04138778110224094,0.015485228615784302
MinPartialCharge,0.027998216535627153,-0.024595814356537907,-0.11340976739786555,0.12170294203892416,0.07855252476006318,-0.20578779031529595,-0.3364306715859205,-0.20440554369259015,0.030137773519896858,0.14285771541513584,0.2240580765396172,0.08443180719505416,-0.022045153676931217,0.0382580690408269,0.06793265844583546,0.0778278128481077,0.016269142630944977,-0.14551050343957223,0.047093461897456945,-0.046324446695157506
BalabanJ,-0.1044033646099992,-0.12239701517878161,0.030315071760752765,-0.03012147163400151,0.03639996033505245,-0.22345247308695018,0.10930230773982137,0.058842664558968374,-0.09612802137708548,0.06058293629380515,-0.0030918255712936438,0.06237729488749716,-0.02351907361709854,-0.03703976341199047,-0.03554146304016799,-0.016265438022960335,0.01020138216160989,-0.003596402198312504,0.09151309222816108,0.19400856710120123
BertzCT,0.13737610333006484,0.11035736713039922,-0.01717909722221744,-0.13136357086507622,0.03539709101804806,0.006178579279206283,0.001291799290441266,0.04529878847088244,0.07585951186568995,0.059274964860972425,0.00929821797117747,-0.045892370920720016,0.0409256092888865,0.007444643783529721,0.03686444026513855,-0.02923091068585848,0.034910775479023104,-0.05346337383123782,-0.05513728958912434,-0.001228616888465331
Kappa1,-0.02777270745615519,0.2025642850091921,0.05728453544208792,-0.047314200891073493,-0.011159763339799865,-0.09519695166607293,0.06627833384095262,0.004811813902671738,-0.04836087052678691,0.02795983816444969,0.03199429271123524,0.04203323574299944,-0.02501336619811695,-0.002180535287969021,-0.0065519445167172286,0.01085407972937688,-0.01592350028496689,0.013903768210261278,0.024876062154054135,-0.018654999519509274
Kappa2,0.06399697591351523,0.16530591935979522,0.11403746957959311,-0.01913343331520106,-0.05257848518630838,-0.03617662172670807,0.031582457965510236,-0.08811262723473949,-0.16360791023398097,-0.007967275739156312,0.014580449484354946,0.11018260405687444,-0.04580528181369958,-0.019462476338185764,-0.024926465210502687,-0.03672311052095492,0.0522870760786475,0.009431391333287548,0.07313260621871102,-0.04144042546452645
Kappa3,-0.01665555384643826,0.1702079719345917,0.04106952440156636,-0.06314596623955958,-0.09304006640145294,-0.1774038695013408,0.1257092372668892,-0.0798919019333518,-0.17843294163877543,0.036361659344006925,0.00646140682934266,0.1185713943396183,-0.027564581665924195,0.023633582717381918,-0.028124756300329817,0.01628491900316109,0.02530342208656397,0.06324977112739216,0.01652883968785189,-0.021910403889712493
Chi0,0.01455884207361502,0.206787701282883,0.06793888261931379,-0.055820677940128516,0.007393241534774157,-0.0324815224804225,0.04000516784689002,0.03669851695954645,-0.0013001411486806645,0.049883846830332305,0.05015226724002795,-0.018383114201393443,-0.007605396922519374,0.00769873576323904,0.012161235078548271,0.01972298093103679,3.7887435389252766e-05,-0.00418880830561863,-0.018930867733027462,-0.0202516481997478
Chi1,0.07122582353046596,0.1901538161584222,0.06547233620623207,-0.03716849062315232,0.0027751936993484307,0.05537025677836008,-0.01421204897236586,0.0113340512224968,0.006055537197460353,0.028880038914388683,0.04387948823513106,-0.026718296043029957,-0.011422002558158329,0.004812472428140813,0.007895006493333856,-0.0031479715509413753,0.02109784382678763,-0.02057968355113049,-0.007937021591088972,-0.037894273806325214
Chi0n,0.039525930984081074,0.20511225285712495,0.02460844775860159,0.013213378356313404,0.033226593370361726,0.026612632966510483,0.08702995796790351,0.02253221643895523,-0.039168648070008694,0.0494499546586334,0.03877089947074011,0.034219852292020674,-0.013984876224640203,0.023687796176085837,2.000661225748379e-05,0.04334656199114184,-0.016363854235605265,0.009155784506930165,0.022073102079944312,-0.01301741149198915
Chi1n,0.03552012893108294,0.20245750347605357,0.018768643300854933,0.08195808582740831,0.024541579551208847,0.09167221903163528,0.029019471512041865,-0.009997155033276016,-0.0013332948563508933,0.024597675462043958,0.041701223164043975,-0.0023666499768750164,-0.025520522563348504,0.014748475994683236,-0.030296614640272668,0.015106063887584842,-0.005358671326283412,0.013345389686596376,0.024408043230056492,-0.030290133696189672
Chi2n,-0.016560721148635105,0.1957805316274128,-0.02110573152205906,0.11009116545951428,0.03715971292940234,0.029149809666614766,0.11433662850920835,0.03936237929403121,0.07351956319469162,0.03734221752713654,0.061922686524550366,0.01670388670757726,-0.017976134234918246,0.035867304763515365,-0.029930861801165776,0.082799459319149,-0.10079564264735326,0.022307962817121663,-0.001213399563218344,-0.012907895911656645
Chi3n,-0.013018095494141773,0.186383711713539,-0.0300597282578958,0.1413482506543137,0.05155284916336896,0.12378025555094761,0.000993511503437309,-0.004734605296326153,0.14605665419881997,-0.04157882161497339,0.037331738561530846,-0.05368503743978564,-0.05677815109314676,0.007914088892070348,-0.03920263426886938,0.046012855802583866,-0.028482369194103855,-0.011090003023796355,0.022902900374743445,-0.060982908861869585
Chi4n,-0.03134462750385529,0.1758006673793833,-0.03548487349070578,0.1526553275454548,0.061260307609878405,0.14914775985782144,-0.012649299061915325,-0.012482317614287574,0.1336416116353896,-0.030301903186171795,0.032882158192412365,-0.07463627327519738,-0.038109195615477216,-0.016811591742122108,-0.02628066519095262,0.010676965041997782,-0.026541160956742138,-0.011019256008858771,0.0005389572622505273,-0.05924614274168866
Chi0v,0.05399552911619111,0.20194734628061708,0.00036525639738967526,-0.01656458005881938,0.03145064484729181,-0.04647843719524726,0.05284974910636561,0.020028671193437216,-0.02656961218327185,0.004990589790418263,-0.015459557456281076,0.07661524628136485,-0.0012629505361800928,-0.0055434097301890655,0.022887554967419944,0.0006557950939011358,-0.04797674829145303,-0.004087201461913364,0.03499847063277584,-0.0018514987229336683
Chi1v,-0.0015793682434048037,0.19661951165853223,-0.11217361570278811,-0.030729484293569358,0.031247573267005953,-0.04183054529526505,0.0018202045424135695,-0.03888928780680109,0.018304496522351887,-0.030483541118990383,-0.10846929039673305,0.08401608034885949,0.020447114535996822,0.004231679205603913,0.06346768959598109,-0.026237916253215386,0.002659823779879379,-0.03671588452899364,0.03012277475578489,0.0032497725981135823
Chi2v,-0.04695237590853331,0.17141171846532866,-0.14375623865908788,-0.01880598437810897,0.0337936500306195,-0.09727309958095323,0.057434427161603255,-0.0015222019342423553,0.07388172423358438,-0.028225407092139422,-0.09312693068845242,0.09454988586653724,0.030314020876379216,0.022168061281063273,0.06416880426905686,0.01652698009161556,-0.0668049673945431,-0.027479615337389733,0.015615539631015264,0.022564030359355204
Chi3v,-0.058666279828512954,0.17144237430929588,-0.1321600021595201,0.029986577085751,0.03406549705905015,-0.015225706611880534,-0.04259185920763395,-0.02417604595963357,0.12584228274567896,-0.08969463525908758,-0.11211363129404528,0.0426170378368083,-0.010192000139409602,-0.0076144549418678785,0.07406432622974403,-0.011421398694156724,-0.026440511842054606,-0.05801127580852233,0.061383530317031136,-0.01753423122130565
