smiles,IC50
CN1CCN(CCSc2cc(ccc2C(F)(F)F)c3nn(CCCN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C)CC1,1060
CNCCSc1cc(ccc1C(F)(F)F)c2nn(CCCN3CCC(CC3)N4CCCC4=O)c5CCN(Cc25)S(=O)(=O)C,800
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCNCc6ccccc6)c5)C(F)(F)F,700
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCN6CCCC6)c5)C(F)(F)F,80
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCN6CCC(O)CC6)c5)C(F)(F)F,340
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCN6CCOCC6)c5)C(F)(F)F,680
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCN6CCC(CC6)c7ccccc7)c5)C(F)(F)F,200
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCN6CCCCC6)c5)C(F)(F)F,40
CC(C)(C)C1CCN(CCSc2cc(ccc2C(F)(F)F)c3nn(CCCN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C)CC1,160
CC1CCN(CCSc2cc(ccc2C(F)(F)F)c3nn(CCCN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C)CC1,110
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCN6CCC7CCCCC7C6)c5)C(F)(F)F,55
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F,3570
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4)c5ccc(c(SCCN6CCCCC6)c5)C(F)(F)F,560
O=C(N[C@@H](Cc1cccs1)C(=O)N[C@H]2[C@H]3N(CCS3(=O)=O)C2=O)OCc4ccccc4,4.6
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@H]3OCCN3C2=O)OCc4ccccc4,430
O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@H]2[C@H]3N(CCS3(=O)=O)C2=O)OCc4ccccc4,0.7
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@@H]3OCCN3C2=O)OCc4ccccc4,77
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@@H]3N(CCCS3(=O)=O)C2=O)OCc4ccccc4,2500
Fc1cccc(C[C@H](NC(=O)OCc2ccccc2)C(=O)N[C@H]3[C@H]4N(CCS4(=O)=O)C3=O)c1,8
N[C@@H](Cc1ccccc1F)C(=O)N[C@]2(C[C@H]2c3ccccc3)C#N.OC(=O)C(F)(F)F,1600
Fc1ccc(cc1)C(=O)NCc2cc(ccc2Cl)C3=NN(CCCN4CCC(CC4)N5CCCC5=O)C(=O)C=C3,1500
FC(F)(F)c1cccc(c1)N2CCN(CCCN3N=C(C=CC3=O)c4ccc(Cl)c(CNC(=O)c5ccccc5)c4)CC2,1600
CN1C(=O)N(C2CCN(CCCN3N=C(C=CC3=O)c4ccc(Cl)c(CNC(=O)c5ccccc5)c4)CC2)c6cc(Cl)ccc16,430
Clc1ccc(cc1CNC(=O)c2ccccc2)C3=NN(CCCN4CCCC4)C(=O)C=C3,14000
CN1C(=O)N(C2CCN(CCCN3N=C(C=CC3=O)c4ccc(Cl)c(CNC(=O)c5ccc(F)cc5)c4)CC2)c6cc(Cl)ccc16,320
CN1C(=O)N(C2CCN(CCCN3N=CC=C(C3=O)c4ccc(Cl)c(CNC(=O)c5ccc(F)cc5)c4)CC2)c6cc(Cl)ccc16,1800
CN1C(=O)N(C2CCN(CCCN3C=NC=C(C3=O)c4ccc(Cl)c(CNC(=O)c5ccc(F)cc5)c4)CC2)c6cc(Cl)ccc16,6700
CN1C(=O)N(C2CCN(CCCN3C=CN=C(C3=O)c4ccc(Cl)c(CNC(=O)c5ccc(F)cc5)c4)CC2)c6cc(Cl)ccc16,110
Clc1ccc(cc1CNC(=O)c2ccccc2)C3=NN(CCCN4CCC(CC4)N5CCCC5=O)C(=O)C=C3,2300
O=C(N[C@@H](Cc1cccnc1)C(=O)N[C@H]2[C@H]3N(CCS3(=O)=O)C2=O)OCc4ccccc4,58
FC(F)(F)c1cc(ccc1OCc2ccccc2)c3cc4[nH]cnc4c(n3)C#N,676
CCNc1ccc(cc1C(F)(F)F)c2cc3[nH]cnc3c(n2)C#N,105
CC(=O)Nc1ccc(cc1C(F)(F)F)c2cc3[nH]cnc3c(n2)C#N,3236
CCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3CCN4CCOCC4)c(n2)C#N,37
CCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3CCN(C)C)c(n2)C#N,854
CCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3CCCN4CCOCC4)c(n2)C#N,35
CCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3CCCN(C)C)c(n2)C#N,27
CCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3C)c(n2)C#N,40
Cn1cnc2c(nc(cc12)c3ccc(CCO)c(c3)C(F)(F)F)C#N,71
Cn1cnc2c(nc(cc12)c3ccc(CCCO)c(c3)C(F)(F)F)C#N,234
Cn1cnc2c(nc(cc12)c3ccc(OCc4ccccn4)c(c3)C(F)(F)F)C#N,20
Cn1cnc2c(nc(cc12)c3ccc(OCc4cccnc4)c(c3)C(F)(F)F)C#N,12.6
Cn1cnc2c(nc(cc12)c3ccc(OCc4ccncc4)c(c3)C(F)(F)F)C#N,10
Cc1cccc(CCOc2ccc(cc2C(F)(F)F)c3cc4c(ncn4C)c(n3)C#N)n1,11
Cn1cnc2c(nc(cc12)c3ccc(OCCN4CCCC4=O)c(c3)C(F)(F)F)C#N,7.8
Cn1cnc2c(nc(cc12)c3ccc(OC4CCNCC4)c(c3)C(F)(F)F)C#N,316
Cn1cnc2c(nc(cc12)c3ccc(OCC4CCNCC4)c(c3)C(F)(F)F)C#N,14.1
Cn1cnc2c(nc(cc12)c3ccc(OCCC4CCNCC4)c(c3)C(F)(F)F)C#N,8.3
CN(C)CCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3C)c(n2)C#N,209
Cn1cnc2c(nc(cc12)c3ccc(OCCN4CCNC(=O)C4)c(c3)C(F)(F)F)C#N,7.8
CN(C)CCCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3C)c(n2)C#N,32
Cn1cnc2c(nc(cc12)c3ccc(OCCCN4CCCC4)c(c3)C(F)(F)F)C#N,28
CN1CCN(CCCOc2ccc(cc2C(F)(F)F)c3cc4c(ncn4C)c(n3)C#N)CC1,9.5
CCN1CCN(CCCOc2ccc(cc2C(F)(F)F)c3cc4c(ncn4C)c(n3)C#N)CC1,7.2
CN1CCN(CCCOc2ccc(cc2C(F)(F)F)c3ccnc(n3)C#N)CC1,1.3
CN1CCN(CCCOc2ccc(cc2C(F)(F)F)c3cccc(n3)C#N)CC1,58
Cn1ccc2c(nc(cc12)c3ccc(OCCN4CCCC4=O)c(c3)C(F)(F)F)C#N,661
CCCc1cc(nc(n1)C#N)c2cccc(Cl)c2,148
